wallet_pubkey                                | allocation
----------------------------------------------+----------------
32yPsornzdSbb1doB8yRPy4msXu1jqh4eqKgEmpNR5dt | 11118644067792
AUHuA5cyvWQ4hzHe6YHNfE4eQpHvEtnDKHqVY9gbgDWi | 2033898305076
mooGAJGD4gF3HP9b5nRZDh9GFFHYMHNhXij3VLPWzkX  | 542372881356
2YKBqu5ejfjx3PoeAiX4piCXKK3FKn5HNTYTEL9ArMv2 | 12881355932196
Bd7F9XJT9GNGbgfnQVW3RewdEsek51KuCXR6XJyWYAZs | 4881355932192
6ENXhky3QwqvXSFSDsHxfCXwgAbHGMHZqJqFUNimjq8L | 4338983050836
BcXqShgNmVCobAN71LXX4o7J9eQNjVCoSFqDBS45dWkY | 3932203389828
rdr7FwfCVnRJtMKdSVqUNbqd6g9kAmb676XpFLvGiMw  | 2440677966096
8XwqV81VENExW5otiyx29kwCaqrXqJk2YWB45hQd6pDC | 12881355932196
FtH6MJ8xRBAKJZPvwD8FV7mDArmMAU7p4P85Xq1JrkRP | 1898305084740
9vHh4rRVGTp9HRGzKyAWwb56i5ukTK3TKH264sqyBC97 | 11796610169484
FBB521rgBYg9ALwudhgdbXujRFW2P6VcmoYUC7JWLesw | 12881355932196
JBTz1R7bzA2wYKgaQofQGS6sGzWmzvPKrmvyPZH4HNY2 | 9491525423724
55HKvWHQiAkZBeGpBiw5aAJrArDiDPSfqrNYhQhbsGy5 | 1627118644068
BysBgimWDPnSSXYsqE9WuqpkDxZCMeWepyvH9cGRtX25 | 10305084745752
9Dm17EXSiE7FbyySVyMAFHCVGWB71e8VMbsMPJguk1MX | 7457627118636
DJ99QUU68BSHKfAxbQbsYeodFCFBaqB38zA7oGAdJhsp | 677966101692
8smDX5WL3hALQxE5XJR6kncGe96LXPGmR4jCEKWehkxe | 542372881356
D6z2CuRDAdYpBfJXRV3vMrDyvUrsiVpWDJPSooueydcz | 1627118644068
8MqunpP7CrwF5rPZMrjJ2gHSab7huiWCaiC9y42VtvD9 | 3796610169492
AyybkZiCXwr6ETkXvsoeDy5wmT7512d2oBHVJD9UW1iL | 4067796610164
DxFyN6GPkFJqetVm8zWms6g1NoFu3PgUDKhtNHHj92nQ | 8813559322032
BC6gRKJzhDRSeAb2kCfhYQCV8c6FTko6hwd64f7jEjFa | 10576271186436
PAatzVmBx57uuri2sd4QZp1q8tiXNPFpksGrkJaSC7v  | 542372881356
GNJv9gS2DuBFVxF1aHjTKQVKFhDvRr7nkY94kDAUg1JG | 9762711864396
55wAZAhT3BjTkBBfXscqEwFetzSctEnoor2a8s3SPa8F | 3525423728808
Aws1kNSyMwLu1HYNgq59pAMdaL43zXu5sVijP5DVYBru | 12474576271176
DJi41NpyxHK2RHQXUDQvMVHtEDrZ9YemHEsnZB64KzGR | 11389830508464
DMVrtZEHkmGG9449gwRbvHdn3sYGH4YNrpzk7UD85g23 | 12203389830504
FxyHPxs9wZuGTCfsWQQLaHJ5QaioGxdDhwFYdxt4VQ5M | 9491525423888
